"year","DVRPC- All","DVRPC- State","DVRPC- Local","DVRPC- Other","Pennsylvania All Counties- All","Pennsylvania All Counties- State","Pennsylvania All Counties- Local","Pennsylvania All Counties- Other","New Jersey Suburbs- All","New Jersey Suburbs- State","New Jersey Suburbs- Local","New Jersey Suburbs- Other","Pennsylvania Suburbs- All","Pennsylvania Suburbs- State","Pennsylvania Suburbs- Local","Pennsylvania Suburbs- Other","Bucks- All","Bucks- State","Bucks- Local","Bucks- Other","Burlington- All","Burlington- State","Burlington- Local","Burlington- Other","Camden- All","Camden- State","Camden- Local","Camden- Other","Chester- All","Chester- State","Chester- Local","Chester- Other","Delaware- All","Delaware- State","Delaware- Local","Delaware- Other","Gloucester- All","Gloucester- State","Gloucester- Local","Gloucester- Other","Mercer- All","Mercer- State","Mercer- Local","Mercer- Other","Montgomery- All","Montgomery- State","Montgomery- Local","Montgomery- Other","Philadelphia- All","Philadelphia- State","Philadelphia- Local","Philadelphia- Other"
2010,0.152,0.174,0.290,0.039,0.197,0.201,0.346,0.083,0.050,0.076,0.143,0.009,0.170,0.152,0.442,0.116,0.199,0.221,0.334,0.114,0.045,0.028,0.134,0.036,0.057,0.154,0.089,0,0.123,0.103,0.298,0.086,0.086,0.066,0.448,0.059,0.035,0.057,0.144,0,0.060,0.048,0.167,0,0.230,0.202,0.553,0.157,0.221,0.239,0.269,0.027
2011,0.131,0.150,0.264,0.047,0.166,0.172,0.313,0.085,0.046,0.066,0.144,0.009,0.169,0.151,0.447,0.122,0.220,0.218,0.409,0.176,0.046,0.029,0.141,0.037,0.049,0.131,0.088,0,0.114,0.088,0.319,0.090,0.087,0.075,0.461,0.048,0.028,0.045,0.130,0,0.058,0.045,0.169,0,0.225,0.200,0.512,0.155,0.164,0.188,0.183,0.046
2012,0.112,0.123,0.273,0.035,0.139,0.138,0.313,0.062,0.048,0.067,0.164,0.009,0.137,0.112,0.436,0.102,0.188,0.179,0.417,0.147,0.045,0.029,0.130,0.038,0.047,0.124,0.088,0,0.100,0.070,0.316,0.094,0.083,0.069,0.468,0.047,0.034,0.057,0.130,0,0.067,0.045,0.229,0,0.163,0.126,0.485,0.118,0.141,0.158,0.214,0.015
2013,0.123,0.108,0.260,0.118,0.123,0.118,0.296,0.063,0.122,0.068,0.163,0.172,0.122,0.091,0.427,0.105,0.160,0.133,0.430,0.152,0.045,0.025,0.142,0.038,0.246,0.120,0.088,0.327,0.096,0.071,0.293,0.076,0.071,0.054,0.458,0.047,0.034,0.059,0.096,0,0.073,0.053,0.229,0,0.148,0.103,0.471,0.125,0.125,0.140,0.189,0.013
2014,0.106,0.105,0.265,0.041,0.134,0.116,0.301,0.120,0.047,0.065,0.170,0.009,0.124,0.089,0.434,0.120,0.139,0.123,0.436,0.097,0.042,0.027,0.134,0.034,0.041,0.112,0.057,0,0.094,0.078,0.275,0.043,0.093,0.051,0.503,0.527,0.034,0.054,0.144,0,0.072,0.052,0.245,0,0.147,0.103,0.475,0.123,0.143,0.138,0.191,0.119
2015,0.095,0.097,0.251,0.029,0.123,0.106,0.294,0.103,0.038,0.064,0.135,0.001,0.118,0.087,0.414,0.100,0.132,0.116,0.446,0.082,0.021,0.021,0.137,0.001,0.042,0.111,0.057,0.002,0.096,0.081,0.281,0.026,0.091,0.051,0.436,0.527,0.030,0.059,0.031,0,0.058,0.052,0.197,0,0.136,0.100,0.450,0.095,0.128,0.121,0.192,0.127
2016,0.095,0.096,0.252,0.028,0.121,0.104,0.289,0.100,0.041,0.065,0.156,0.002,0.116,0.086,0.399,0.097,0.122,0.102,0.432,0.085,0.023,0.031,0.136,0.001,0.040,0.098,0.084,0.005,0.098,0.084,0.273,0.026,0.088,0.049,0.430,0.490,0.030,0.058,0.031,0,0.069,0.061,0.244,0,0.137,0.106,0.428,0.091,0.127,0.119,0.195,0.119
2017,0.088,0.089,0.241,0.025,0.111,0.094,0.275,0.091,0.042,0.070,0.151,0.001,0.105,0.077,0.376,0.088,0.121,0.106,0.403,0.077,0.023,0.030,0.137,0.001,0.040,0.105,0.071,0.001,0.103,0.093,0.255,0.027,0.084,0.048,0.434,0.490,0.029,0.058,0.025,0,0.073,0.069,0.236,0,0.109,0.076,0.397,0.077,0.117,0.108,0.191,0.119
2018,0.081,0.084,0.257,0.021,0.098,0.087,0.296,0.045,0.042,0.071,0.149,0.001,0.094,0.070,0.330,0.071,0.129,0.107,0.373,0.117,0.023,0.033,0.128,0.001,0.041,0.104,0.100,0.001,0.104,0.082,0.282,0.027,0.064,0.047,0.413,0.045,0.029,0.058,0.025,0,0.074,0.071,0.227,0,0.092,0.062,0.311,0.067,0.102,0.101,0.263,0.012
2019,0.083,0.081,0.260,0.021,0.105,0.086,0.303,0.076,0.038,0.064,0.145,0.001,0.089,0.065,0.318,0.072,0.103,0.091,0.332,0.076,0.023,0.033,0.129,0.001,0.038,0.098,0.100,0.001,0.088,0.074,0.246,0.016,0.086,0.052,0.392,0.444,0.024,0.047,0.025,0,0.060,0.063,0.216,0,0.081,0.055,0.319,0.051,0.121,0.103,0.290,0.103
2020,0.083,0.085,0.244,0.016,0.104,0.089,0.283,0.060,0.041,0.073,0.137,0.001,0.089,0.073,0.283,0.056,0.119,0.121,0.289,0.068,0.023,0.039,0.117,0.001,0.037,0.095,0.074,0.001,0.086,0.078,0.213,0.010,0.073,0.051,0.327,0.237,0.025,0.050,0.025,0,0.072,0.088,0.214,0,0.078,0.055,0.299,0.046,0.120,0.102,0.284,0.094
2021,0.080,0.082,0.231,0.015,0.103,0.089,0.267,0.054,0.034,0.057,0.130,0.001,0.082,0.069,0.243,0.047,0.111,0.110,0.265,0.074,0.022,0.037,0.114,0.001,0.037,0.095,0.074,0.001,0.096,0.093,0.210,0.010,0.057,0.043,0.171,0.209,0.019,0.038,0.008,0,0.052,0.050,0.205,0,0.070,0.050,0.278,0.024,0.123,0.104,0.291,0.108
2022,0.073,0.077,0.195,0.015,0.092,0.081,0.221,0.051,0.035,0.062,0.122,0.001,0.074,0.062,0.224,0.043,0.096,0.095,0.254,0.062,0.026,0.048,0.121,0.001,0.033,0.085,0.060,0.001,0.086,0.082,0.194,0.005,0.055,0.043,0.152,0.208,0.033,0.066,0.008,0,0.048,0.050,0.185,0,0.065,0.046,0.255,0.024,0.109,0.096,0.219,0.117
2023,0.058,0.063,0.190,0.011,0.067,0.063,0.215,0.022,0.035,0.063,0.119,0.000,0.070,0.067,0.218,0.027,0.083,0.094,0.247,0.040,0.026,0.048,0.115,0.001,0.033,0.086,0.060,0,0.088,0.086,0.191,0.005,0.059,0.065,0.161,0.015,0.033,0.066,0.008,0,0.048,0.050,0.182,0,0.060,0.041,0.240,0.024,0.065,0.059,0.212,0.015
